,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,cname,wef_imort,who_alc2000,who_tobt,wdi_exph,region_recod
119,,NRU,9,3130.47,0.0120000001043081,Nauru,,,48.900002,3.32664942741394,Pacific
63,0.44999999,GMB,4,1601.88,,Gambia,49.20000076293945,3.4100001000000004,,7.340400695800781,SubSaharian
160,0.66500002,ZAF,4,8820.0596,54.14699935913086,South Africa,33.299999237060554,7.380000099999999,18.9,8.796984672546387,SubSaharian
37,,TWN,6,33965.871,23.43400001525879,Taiwan,3.9345641136169434,,,,EastAsia
34,0.39399999,TCD,4,1651.05,,Chad,89.4000015258789,0.63999999,,3.6211643218994136,SubSaharian
53,0.58200002,GNQ,4,15412.43,,Equatorial Guinea,,10.72,,3.8040790557861333,SubSaharian
151,0.491,SEN,4,1527.99,,Senegal,45.20000076293945,0.25999999,11.1,4.664971828460693,SubSaharian
171,0.73799998,THA,7,9295.5703,68.65699768066406,Thailand,11.399999618530268,6.4099998,21.5,4.122164249420166,SouthEastAsia
40,0.58999997,COG,4,2369.8401,,Congo,,3.8199998999999996,18.5,5.151411533355713,SubSaharian
75,0.91900003,ISL,5,31313.609,0.3289999961853027,Iceland,1.7999999523162842,7.4499998,17.5,8.859166145324707,WesternDem
